"@Lesson","@Sequence","Chinese (traditional)","Chinese (simplified)","pinyin","English","part of speech"
"BLCU Reader Chapter 15","10","人民幣","人民币","rénmínbì","Renminbi (RMB)","N"
"BLCU Reader Chapter 15","11","人民","人民","rénmín","people","N"
"BLCU Reader Chapter 15","12","得","得","děi","need; must; have to","OpV"
"BLCU Reader Chapter 15","13","用","用","yòng","use","V"
"BLCU Reader Chapter 15","14","剛","刚","gāng","just; only a short while ago","Adv"
"BLCU Reader Chapter 15","15","從","从","cóng","from","Prep"
"BLCU Reader Chapter 15","16","非常","非常","fēicháng","very; extremely; highly","Adv"
"BLCU Reader Chapter 15","17","次","次","cì","(measure word for actions)","M"
"BLCU Reader Chapter 15","18","參觀","参观","cānguān","visit (a place)","V"
"BLCU Reader Chapter 15","19","兵馬俑","兵马俑","bīngmǎyǒng","(ceremonial clay statues of warriors and horses which are burried with the dead)","N"
"BLCU Reader Chapter 15","20","兵","兵","bīng","soldier; fighter","N"
"BLCU Reader Chapter 15","21","明信片","明信片","míngxìnpiàn","postcard","N"
"BLCU Reader Chapter 15","22","信","信","xìn","letter","N"
"BLCU Reader Chapter 15","23","該","该","gāi","to be somone's turn to do something","V"
"BLCU Reader Chapter 15","24","工作人員","工作人员","gōngzuò rényuán","working personnel; staff member","N"
"BLCU Reader Chapter 15","25","人員","人员","rényuán","personnel; staff","N"
"BLCU Reader Chapter 15","26","千","千","qiān","thousand","Num"
"BLCU Reader Chapter 15","27","數","数","shǔ","count","V"
"BLCU Reader Chapter 15","28","王府井","王府井","wángfǔjǐng","(name of a famous commercial district in Beijing)","PN"
"BLCU Reader Chapter 15","29","西安","西安","xī'ān","(name of the capital of Shaanxi Province)","PN"
"BLCU Reader Chapter 15","30","好久不見","好久不见","hǎojiǔ bújiàn","""long time no see""; haven't seen someone for a long time","IE"
"BLCU Reader Chapter 15","31","好久","好久","hǎojiǔ","long time","IE"
"BLCU Reader Chapter 15","32","見","见","jiàn","see","V"
"BLCU Reader Chapter 15","33","發展","发展","fāzhǎn","develop","V"
"BLCU Reader Chapter 15","34","快","快","kuài","fast; quick; rapid","A"
"BLCU Reader Chapter 15","35","話","话","huà","dialect; language","N"
"BLCU Reader Chapter 15","36","普通話","普通话","pǔtōnghuà","common speech; Mandarin Chinese","N"
"BLCU Reader Chapter 15","37","年輕","年轻","niánqīng","young","A"
"BLCU Reader Chapter 15","38","輕","轻","qīng","light; small","A"
"BLCU Reader Chapter 15","39","流利","流利","liúlì","fluent","A"
"BLCU Reader Chapter 15","40","懂","懂","dǒng","understand","V"
"BLCU Reader Chapter 15","41","就","就","jiù","exactly; precisely","Adv"
"BLCU Reader Chapter 15","42","美元","美元","měiyuán","U.S. dollar","N"
"BLCU Reader Chapter 15","43","歐元","欧元","ōuyuán","Euro","N"
"BLCU Reader Chapter 15","44","加元","加元","jiāyuán","Canadian dollar","N"
"BLCU Reader Chapter 15","45","元","元","yuán","(measure word for Chinese currency kuai)","M"
"BLCU Reader Chapter 15","46","亞洲學習","亚洲学系","yàzhōuxué xì","Department of Asian Studies","N"
"BLCU Reader Chapter 15","47","匯率","汇率","huìlǜ","exchange rate","N"
"BLCU Reader Chapter 15","48","現金","现金","xiànjīn","cash","N"
"BLCU Reader Chapter 15","49","信用卡","信用卡","xìnyòngkǎ","credit card","N"
"BLCU Reader Chapter 15","50","城市","城市","chéngshì","city","N"
"BLCU Reader Chapter 15","51","地方","地方","dìfang","place","N"
"BLCU Reader Chapter 15","52","兒子","儿子","érzi","son","N"
"BLCU Reader Chapter 15","53","菜","菜","cài","food; dish","N"
"BLCU Reader Chapter 16","1","把","把","bǎ","(denoting the disposal of something)","Prep"
"BLCU Reader Chapter 16","2","忘","忘","wàng","forget","V"
"BLCU Reader Chapter 16","3","圖書館","图书馆","túshūguǎn","library","N"
"BLCU Reader Chapter 16","4","圖書","图书","túshū","books","N"
"BLCU Reader Chapter 16","5","館","馆","guǎn","shop; place for cultural activities","N"
"BLCU Reader Chapter 16","6","辦公室","办公室","bàngōngshì","office","N"
"BLCU Reader Chapter 16","7","辦公","办公","bàngōng","handle official business; work (in an office)","VO"
"BLCU Reader Chapter 16","8","室","室","shì","room","N"
"BLCU Reader Chapter 16","9","上","上","shàng","go up; get on/last; previous","V, N"
"BLCU Reader Chapter 16","10","先","先","xiān","first; before","Adv"
"BLCU Reader Chapter 16","11","借書證","借书证","jièshūzhèng","library card","N"
"BLCU Reader Chapter 16","12","借","借","jiè","borrow; lend","V"
"BLCU Reader Chapter 16","13","證","证","zhèng","certificate; card","N"
"BLCU Reader Chapter 16","14","一會兒","一会儿","yíhuì(r)","a little while","IE"
"BLCU Reader Chapter 16","15","下","下","xià","go down; get off/next","V, N"
"BLCU Reader Chapter 16","16","帶","带","dài","bring","V"
"BLCU Reader Chapter 16","17","填","填","tián","fill in; write","V"
"BLCU Reader Chapter 16","18","表","表","biǎo","form; table; list","N"
"BLCU Reader Chapter 16","19","拿","拿","ná","take; hold; get","V"
"BLCU Reader Chapter 16","20","慢","慢","màn","slow; slowly","A"
"BLCU Reader Chapter 16","21","不行","不行","bùxíng","not be allowed; won't do","V"
